CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
2141337,476e045251033646a525de64fdb69ab90ced83cf2166f07c67f412f86087b58121c89eedf85c16696d0c2225f989aa6eedaf9a75344e0113ddde20ba07f5267c,09/01/2025 01:06:00 AM,1,DRIVER,,2041264,,JEEP,CHEROKEE,IL,2012,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,S,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141338,476e045251033646a525de64fdb69ab90ced83cf2166f07c67f412f86087b58121c89eedf85c16696d0c2225f989aa6eedaf9a75344e0113ddde20ba07f5267c,09/01/2025 01:06:00 AM,2,DRIVER,1,2041274,,TOYOTA,CAMRY,IL,2021,UNKNOWN,PASSENGER,RIDESHARE SERVICE,S,STRAIGHT AHEAD,,,2,,,,,,,,,,Y,,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141317,f4c3361fd295ef2706060325a0624c7870ea926e3e4e4e6b9cce1fb5a4139c94a17a89b4395b1809cae883adb24b39b5f513ad11931b12f764fea52454f4d4bf,09/01/2025 12:55:00 AM,1,DRIVER,,2041249,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,W,STRAIGHT AHEAD,,,1,,,,,N,,,,,,,,Y,Y,Y,Y,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141318,f4c3361fd295ef2706060325a0624c7870ea926e3e4e4e6b9cce1fb5a4139c94a17a89b4395b1809cae883adb24b39b5f513ad11931b12f764fea52454f4d4bf,09/01/2025 12:55:00 AM,2,DRIVER,,2041253,,TOYOTA,HIGHLANDER,IL,2021,NONE,SPORT UTILITY VEHICLE (SUV),PERSONAL,N,TURNING LEFT,Y,,1,,private,unknown,,Y,Y,,,,,,,,,Y,Y,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141319,f4c3361fd295ef2706060325a0624c7870ea926e3e4e4e6b9cce1fb5a4139c94a17a89b4395b1809cae883adb24b39b5f513ad11931b12f764fea52454f4d4bf,09/01/2025 12:55:00 AM,3,DRIVER,,2041254,,HONDA,CR-V,IL,2005,NONE,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,SLOW/STOP IN TRAFFIC,,,1,,,,,Y,,,,,,,,,Y,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141296,34fd8df673642314052d6ace12792cb032d04319b7a18b7f802383ef8d7e5934484c3786362d271753e255064f4a3e4a1a3f8dcb30356a462ed30103db42be40,09/01/2025 12:14:00 AM,1,DRIVER,,2041231,,TOYOTA,PRIUS,IL,2012,UNKNOWN,PASSENGER,UNKNOWN/NA,W,BACKING,,,1,,,,,,,,,Y,Y,Y,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141297,34fd8df673642314052d6ace12792cb032d04319b7a18b7f802383ef8d7e5934484c3786362d271753e255064f4a3e4a1a3f8dcb30356a462ed30103db42be40,09/01/2025 12:14:00 AM,2,PARKED,,2041234,,NISSAN,MURANO,IL,2014,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,W,PARKED,,,0,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141282,30af7bb46b863126ab0592d356b26017cb005c12d7f94fc8dc28fb40536008990aff1a91f32f4d610576f783933e9e0e73046543e899cfae062ecbfeaf920da8,08/31/2025 11:20:00 PM,1,DRIVER,,2041217,Y,NEW FLYER,OTHER (EXPLAIN IN NARRATIVE),IL,2008,NONE,BUS OVER 15 PASS.,CTA,N,AVOIDING VEHICLES/OBJECTS,,,1,,,,,Y,,,,,,,,,,,,,FRONT-RIGHT-CORNER,"22,107",,,,DRIVER,3,CTA,IL,CHICAGO,,,,N,N,,U,,N,U,,,,,,,,,BUS,BUS,OTHER,N,N,
2141283,30af7bb46b863126ab0592d356b26017cb005c12d7f94fc8dc28fb40536008990aff1a91f32f4d610576f783933e9e0e73046543e899cfae062ecbfeaf920da8,08/31/2025 11:20:00 PM,2,DRIVER,3,2041222,,KIA,OTHER (EXPLAIN IN NARRATIVE),IL,2022,NONE,PASSENGER,PERSONAL,NW,PASSING/OVERTAKING,Y,,4,,,,,,,,,,,,Y,Y,Y,Y,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141306,946c633bfb960cee87092910181dd0058cb36f6701c291a1019e9ef3823b387b0a1d06c19daaf3f5a1f08249f6d18c8196710f11edea1ea161a97b216d6cf37b,08/31/2025 11:00:00 PM,1,DRIVER,1,2041239,Y,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,BUS OVER 15 PASS.,UNKNOWN/NA,N,UNKNOWN/NA,,,2,,,,,Y,,,,,,,,,,,Y,,FRONT-RIGHT-CORNER,"22,108",,,,,,UNK,,,,,,,,,,,,,,,,,,,,,BUS,BUS,,,,
